rank,title,artist,genre,weeks_on_chart,date,week_number,year
41,Hold Me Closer,Olivia Rodrigo,Pop,16,2025-01-15,3,2025
42,Hold Me Closer,Drake,Pop,16,2025-01-15,3,2025
43,Kill Bill,Kendrick Lamar,Rock,1,2025-01-15,3,2025
44,Kill Bill,Lizzo,Rock,6,2025-01-15,3,2025
45,Flowers,Morgan Wallen,Country,12,2025-01-15,3,2025
46,Last Night,Lil Baby,R&B/Soul,14,2025-01-15,3,2025
47,Dynamite,BTS,Country,16,2025-01-15,3,2025
48,As It Was,Miley Cyrus,Pop,17,2025-01-15,3,2025
49,Vampire,Ed Sheeran,R&B/Soul,8,2025-01-15,3,2025
50,Unholy,Lil Baby,Pop,12,2025-01-15,3,2025
51,As It Was,Kendrick Lamar,Hip-Hop/Rap,7,2025-01-15,3,2025
52,About Damn Time,Taylor Swift,Alternative,15,2025-01-15,3,2025
53,Late Night Talking,Lil Baby,Rock,9,2025-01-15,3,2025
54,Hold Me Closer,Miley Cyrus,Country,12,2025-01-15,3,2025
55,Dynamite,Billie Eilish,R&B/Soul,9,2025-01-15,3,2025
56,Late Night Talking,Harry Styles,Alternative,5,2025-01-15,3,2025
57,Hold Me Closer,Doja Cat,Country,3,2025-01-15,3,2025
58,Unholy,Dua Lipa,Pop,18,2025-01-15,3,2025
59,Hold Me Closer,Ed Sheeran,Hip-Hop/Rap,15,2025-01-15,3,2025
60,Last Night,BTS,Country,11,2025-01-15,3,2025
61,Flowers,Dua Lipa,Country,3,2025-01-15,3,2025
62,Hold Me Closer,Harry Styles,Rock,8,2025-01-15,3,2025
63,About Damn Time,Justin Bieber,R&B/Soul,9,2025-01-15,3,2025
64,Hold Me Closer,Taylor Swift,Country,12,2025-01-15,3,2025
65,About Damn Time,Lil Baby,R&B/Soul,12,2025-01-15,3,2025
66,Dynamite,Harry Styles,Hip-Hop/Rap,13,2025-01-15,3,2025
67,Late Night Talking,Doja Cat,Pop,11,2025-01-15,3,2025
68,Flowers,Dua Lipa,Rock,7,2025-01-15,3,2025
69,Flowers,Taylor Swift,Country,5,2025-01-15,3,2025
70,Flowers,Justin Bieber,Alternative,15,2025-01-15,3,2025
71,Pink Venom,BTS,Country,4,2025-01-15,3,2025
72,As It Was,Taylor Swift,Pop,5,2025-01-15,3,2025
73,Flowers,Lil Baby,Alternative,1,2025-01-15,3,2025
74,Kill Bill,Lizzo,R&B/Soul,14,2025-01-15,3,2025
75,Anti-Hero,Olivia Rodrigo,Pop,3,2025-01-15,3,2025
76,Unholy,Harry Styles,Pop,14,2025-01-15,3,2025
77,HUMBLE.,Lil Baby,Country,6,2025-01-15,3,2025
78,Kill Bill,Ariana Grande,Pop,9,2025-01-15,3,2025
79,Last Night,Lil Baby,R&B/Soul,11,2025-01-15,3,2025
80,Kill Bill,BTS,Hip-Hop/Rap,5,2025-01-15,3,2025
81,Dynamite,Drake,Rock,10,2025-01-15,3,2025
82,Late Night Talking,Billie Eilish,Alternative,12,2025-01-15,3,2025
83,About Damn Time,Lil Baby,Hip-Hop/Rap,14,2025-01-15,3,2025
84,Pink Venom,Doja Cat,R&B/Soul,7,2025-01-15,3,2025
85,As It Was,Drake,Pop,5,2025-01-15,3,2025
86,As It Was,BTS,Rock,9,2025-01-15,3,2025
87,Hold Me Closer,Dua Lipa,Country,16,2025-01-15,3,2025
88,HUMBLE.,Olivia Rodrigo,Pop,10,2025-01-15,3,2025
89,Hold Me Closer,Taylor Swift,Country,9,2025-01-15,3,2025
90,Unholy,Dua Lipa,Country,11,2025-01-15,3,2025
91,About Damn Time,Olivia Rodrigo,Pop,18,2025-01-15,3,2025
92,As It Was,Ariana Grande,Alternative,7,2025-01-15,3,2025
93,Pink Venom,Justin Bieber,Alternative,20,2025-01-15,3,2025
94,Last Night,Billie Eilish,R&B/Soul,15,2025-01-15,3,2025
95,Kill Bill,Bad Bunny,Alternative,18,2025-01-15,3,2025
96,Unholy,Taylor Swift,R&B/Soul,5,2025-01-15,3,2025
97,Late Night Talking,Ariana Grande,Hip-Hop/Rap,2,2025-01-15,3,2025
98,Unholy,Ariana Grande,Pop,12,2025-01-15,3,2025
99,As It Was,Post Malone,Country,7,2025-01-15,3,2025
100,Break My Soul,Post Malone,Country,3,2025-01-15,3,2025
1,Late Night Talking,Olivia Rodrigo,Rock,3,2025-01-22,4,2025
2,About Damn Time,Post Malone,R&B/Soul,5,2025-01-22,4,2025
3,Last Night,Post Malone,R&B/Soul,8,2025-01-22,4,2025
4,Hold Me Closer,Blackpink,Hip-Hop/Rap,2,2025-01-22,4,2025
5,Vampire,Ed Sheeran,Hip-Hop/Rap,14,2025-01-22,4,2025
6,Flowers,Kendrick Lamar,Rock,10,2025-01-22,4,2025
7,Hold Me Closer,Ed Sheeran,Pop,20,2025-01-22,4,2025
8,HUMBLE.,Ed Sheeran,R&B/Soul,17,2025-01-22,4,2025
9,Hold Me Closer,Ed Sheeran,Hip-Hop/Rap,14,2025-01-22,4,2025
10,Break My Soul,Ariana Grande,Hip-Hop/Rap,20,2025-01-22,4,2025
11,About Damn Time,Harry Styles,Hip-Hop/Rap,2,2025-01-22,4,2025
12,Break My Soul,Miley Cyrus,Rock,11,2025-01-22,4,2025
13,Unholy,Kendrick Lamar,R&B/Soul,17,2025-01-22,4,2025
14,As It Was,The Weeknd,Rock,8,2025-01-22,4,2025
15,Last Night,BTS,Pop,6,2025-01-22,4,2025
16,Pink Venom,BTS,Rock,13,2025-01-22,4,2025
17,Late Night Talking,Taylor Swift,Hip-Hop/Rap,19,2025-01-22,4,2025
18,As It Was,Lizzo,Hip-Hop/Rap,14,2025-01-22,4,2025
19,Hold Me Closer,Harry Styles,Pop,15,2025-01-22,4,2025
20,Break My Soul,Drake,R&B/Soul,14,2025-01-22,4,2025
21,Unholy,Harry Styles,R&B/Soul,17,2025-01-22,4,2025
22,Kill Bill,The Weeknd,Pop,20,2025-01-22,4,2025
23,HUMBLE.,The Weeknd,Pop,4,2025-01-22,4,2025
24,As It Was,Harry Styles,Country,17,2025-01-22,4,2025
25,Hold Me Closer,Ariana Grande,Hip-Hop/Rap,20,2025-01-22,4,2025
26,As It Was,Morgan Wallen,Pop,13,2025-01-22,4,2025
27,Unholy,The Weeknd,Pop,7,2025-01-22,4,2025
28,Anti-Hero,BTS,Country,17,2025-01-22,4,2025
29,Vampire,Drake,Pop,3,2025-01-22,4,2025
30,Anti-Hero,The Weeknd,Hip-Hop/Rap,3,2025-01-22,4,2025
31,Kill Bill,Harry Styles,Country,13,2025-01-22,4,2025
32,About Damn Time,Dua Lipa,Country,4,2025-01-22,4,2025
33,Flowers,Billie Eilish,Pop,12,2025-01-22,4,2025
34,Hold Me Closer,Blackpink,Pop,10,2025-01-22,4,2025
35,Flowers,Doja Cat,R&B/Soul,9,2025-01-22,4,2025
36,Late Night Talking,Taylor Swift,Hip-Hop/Rap,13,2025-01-22,4,2025
37,Late Night Talking,Morgan Wallen,Hip-Hop/Rap,15,2025-01-22,4,2025
38,HUMBLE.,Dua Lipa,Country,14,2025-01-22,4,2025
39,About Damn Time,Blackpink,Hip-Hop/Rap,9,2025-01-22,4,2025
40,Late Night Talking,Lizzo,Rock,18,2025-01-22,4,2025
41,Flowers,Miley Cyrus,R&B/Soul,3,2025-01-22,4,2025
42,Vampire,Morgan Wallen,Hip-Hop/Rap,10,2025-01-22,4,2025
43,About Damn Time,Taylor Swift,Hip-Hop/Rap,19,2025-01-22,4,2025
44,Late Night Talking,Olivia Rodrigo,Pop,15,2025-01-22,4,2025
45,Unholy,The Weeknd,Pop,6,2025-01-22,4,2025
46,As It Was,Lizzo,Hip-Hop/Rap,12,2025-01-22,4,2025
47,HUMBLE.,BTS,Hip-Hop/Rap,12,2025-01-22,4,2025
48,As It Was,BTS,Hip-Hop/Rap,9,2025-01-22,4,2025
49,Late Night Talking,BTS,Rock,11,2025-01-22,4,2025
50,Flowers,Ed Sheeran,Rock,11,2025-01-22,4,2025
51,Hold Me Closer,Morgan Wallen,Country,7,2025-01-22,4,2025
52,Last Night,Taylor Swift,R&B/Soul,18,2025-01-22,4,2025
53,Last Night,Drake,Rock,14,2025-01-22,4,2025
54,HUMBLE.,Blackpink,Hip-Hop/Rap,16,2025-01-22,4,2025
55,Hold Me Closer,Ed Sheeran,Alternative,10,2025-01-22,4,2025
56,Break My Soul,Lil Baby,Country,3,2025-01-22,4,2025
57,Hold Me Closer,Ed Sheeran,Pop,16,2025-01-22,4,2025
58,Dynamite,Morgan Wallen,Rock,10,2025-01-22,4,2025
59,Pink Venom,Ariana Grande,Hip-Hop/Rap,1,2025-01-22,4,2025
60,Unholy,Bad Bunny,Rock,8,2025-01-22,4,2025
61,As It Was,Billie Eilish,Pop,17,2025-01-22,4,2025
62,Kill Bill,Doja Cat,Country,18,2025-01-22,4,2025
63,Vampire,BTS,R&B/Soul,1,2025-01-22,4,2025
64,About Damn Time,Morgan Wallen,R&B/Soul,10,2025-01-22,4,2025
65,Last Night,Blackpink,Rock,11,2025-01-22,4,2025
66,Last Night,Ed Sheeran,Country,20,2025-01-22,4,2025
67,Vampire,Olivia Rodrigo,Pop,19,2025-01-22,4,2025
68,Unholy,Taylor Swift,R&B/Soul,1,2025-01-22,4,2025
69,Flowers,Lizzo,Country,4,2025-01-22,4,2025
70,Vampire,Lizzo,Country,19,2025-01-22,4,2025
71,About Damn Time,Drake,Pop,1,2025-01-22,4,2025
72,Late Night Talking,The Weeknd,Country,5,2025-01-22,4,2025
73,Hold Me Closer,Harry Styles,Pop,14,2025-01-22,4,2025
74,Hold Me Closer,Kendrick Lamar,Country,11,2025-01-22,4,2025
75,About Damn Time,Olivia Rodrigo,R&B/Soul,5,2025-01-22,4,2025
76,Hold Me Closer,Olivia Rodrigo,Pop,3,2025-01-22,4,2025
77,Hold Me Closer,Ariana Grande,Rock,2,2025-01-22,4,2025
78,Anti-Hero,Blackpink,Pop,16,2025-01-22,4,2025
79,About Damn Time,Billie Eilish,R&B/Soul,3,2025-01-22,4,2025
80,Unholy,Ariana Grande,Hip-Hop/Rap,3,2025-01-22,4,2025
81,Unholy,Harry Styles,Pop,17,2025-01-22,4,2025
82,Hold Me Closer,Harry Styles,Rock,18,2025-01-22,4,2025
83,Break My Soul,Post Malone,Alternative,4,2025-01-22,4,2025
84,Anti-Hero,Blackpink,Pop,1,2025-01-22,4,2025
85,HUMBLE.,Lizzo,Pop,13,2025-01-22,4,2025
86,Vampire,Taylor Swift,Hip-Hop/Rap,19,2025-01-22,4,2025
87,Anti-Hero,Taylor Swift,Alternative,14,2025-01-22,4,2025
88,Anti-Hero,Post Malone,Country,5,2025-01-22,4,2025
89,Kill Bill,Dua Lipa,Alternative,20,2025-01-22,4,2025
90,As It Was,Ariana Grande,Hip-Hop/Rap,6,2025-01-22,4,2025
91,HUMBLE.,Lil Baby,Pop,4,2025-01-22,4,2025
92,Hold Me Closer,Kendrick Lamar,Country,18,2025-01-22,4,2025
93,Unholy,Bad Bunny,Pop,9,2025-01-22,4,2025
94,Unholy,Blackpink,Hip-Hop/Rap,19,2025-01-22,4,2025
95,About Damn Time,Ed Sheeran,R&B/Soul,18,2025-01-22,4,2025
96,Dynamite,Doja Cat,Pop,6,2025-01-22,4,2025
97,Hold Me Closer,Ariana Grande,Rock,9,2025-01-22,4,2025
98,Hold Me Closer,Kendrick Lamar,Pop,19,2025-01-22,4,2025
99,Flowers,Lizzo,Rock,4,2025-01-22,4,2025
100,Anti-Hero,The Weeknd,R&B/Soul,8,2025-01-22,4,2025
1,About Damn Time,Billie Eilish,R&B/Soul,18,2025-01-29,5,2025
2,Late Night Talking,Ariana Grande,Pop,20,2025-01-29,5,2025
3,Last Night,Ed Sheeran,Pop,4,2025-01-29,5,2025
4,Anti-Hero,Post Malone,Hip-Hop/Rap,14,2025-01-29,5,2025
5,Late Night Talking,Billie Eilish,Pop,6,2025-01-29,5,2025
6,Late Night Talking,Morgan Wallen,Pop,17,2025-01-29,5,2025
7,Flowers,Blackpink,R&B/Soul,4,2025-01-29,5,2025
8,Hold Me Closer,Harry Styles,R&B/Soul,12,2025-01-29,5,2025
9,Late Night Talking,The Weeknd,Rock,4,2025-01-29,5,2025
10,Late Night Talking,Taylor Swift,Hip-Hop/Rap,10,2025-01-29,5,2025
11,Flowers,Billie Eilish,Hip-Hop/Rap,15,2025-01-29,5,2025
12,About Damn Time,Morgan Wallen,Pop,10,2025-01-29,5,2025
13,Unholy,Kendrick Lamar,Country,3,2025-01-29,5,2025
14,Flowers,Harry Styles,Pop,1,2025-01-29,5,2025
15,Anti-Hero,Kendrick Lamar,R&B/Soul,16,2025-01-29,5,2025
16,Flowers,The Weeknd,Country,15,2025-01-29,5,2025
17,Hold Me Closer,Lizzo,Pop,20,2025-01-29,5,2025
18,Anti-Hero,Billie Eilish,Hip-Hop/Rap,13,2025-01-29,5,2025
19,Hold Me Closer,Lil Baby,Rock,3,2025-01-29,5,2025
20,About Damn Time,Ed Sheeran,Pop,2,2025-01-29,5,2025
21,Dynamite,BTS,Hip-Hop/Rap,12,2025-01-29,5,2025
22,Hold Me Closer,The Weeknd,Pop,17,2025-01-29,5,2025
23,HUMBLE.,Post Malone,Country,15,2025-01-29,5,2025
24,Unholy,Blackpink,Hip-Hop/Rap,8,2025-01-29,5,2025
25,Unholy,Taylor Swift,Pop,3,2025-01-29,5,2025
26,Flowers,Lizzo,Rock,5,2025-01-29,5,2025
27,Unholy,Lizzo,R&B/Soul,18,2025-01-29,5,2025
28,Hold Me Closer,Olivia Rodrigo,Country,4,2025-01-29,5,2025
29,Anti-Hero,Miley Cyrus,R&B/Soul,6,2025-01-29,5,2025
30,Hold Me Closer,The Weeknd,Hip-Hop/Rap,9,2025-01-29,5,2025
31,Late Night Talking,Justin Bieber,Hip-Hop/Rap,5,2025-01-29,5,2025
32,Vampire,Justin Bieber,Pop,10,2025-01-29,5,2025
33,About Damn Time,Billie Eilish,Country,2,2025-01-29,5,2025
34,Late Night Talking,Lil Baby,R&B/Soul,18,2025-01-29,5,2025
35,About Damn Time,Ariana Grande,Hip-Hop/Rap,1,2025-01-29,5,2025
36,Hold Me Closer,Ed Sheeran,R&B/Soul,12,2025-01-29,5,2025
37,About Damn Time,Doja Cat,R&B/Soul,9,2025-01-29,5,2025
38,Late Night Talking,The Weeknd,Pop,2,2025-01-29,5,2025
39,Dynamite,Drake,Pop,6,2025-01-29,5,2025
40,As It Was,Lizzo,Hip-Hop/Rap,3,2025-01-29,5,2025
41,Late Night Talking,Ed Sheeran,Hip-Hop/Rap,8,2025-01-29,5,2025
42,Anti-Hero,Morgan Wallen,Pop,7,2025-01-29,5,2025
43,Anti-Hero,Doja Cat,Hip-Hop/Rap,7,2025-01-29,5,2025
44,Dynamite,Miley Cyrus,Hip-Hop/Rap,3,2025-01-29,5,2025
45,Hold Me Closer,Drake,Country,4,2025-01-29,5,2025
46,Flowers,Post Malone,Rock,11,2025-01-29,5,2025
47,Hold Me Closer,Lil Baby,Pop,3,2025-01-29,5,2025
48,Last Night,Blackpink,Pop,16,2025-01-29,5,2025
49,Vampire,Dua Lipa,Pop,2,2025-01-29,5,2025
50,Vampire,Harry Styles,Pop,16,2025-01-29,5,2025
51,Late Night Talking,Olivia Rodrigo,Pop,12,2025-01-29,5,2025
52,Late Night Talking,Kendrick Lamar,R&B/Soul,19,2025-01-29,5,2025
53,Pink Venom,Blackpink,Pop,11,2025-01-29,5,2025
54,Last Night,The Weeknd,R&B/Soul,4,2025-01-29,5,2025
55,Break My Soul,Morgan Wallen,Hip-Hop/Rap,5,2025-01-29,5,2025
56,Late Night Talking,Olivia Rodrigo,Hip-Hop/Rap,11,2025-01-29,5,2025
57,HUMBLE.,Miley Cyrus,Rock,17,2025-01-29,5,2025
58,Vampire,Blackpink,Rock,14,2025-01-29,5,2025
59,Late Night Talking,Ariana Grande,Country,1,2025-01-29,5,2025
60,Hold Me Closer,BTS,R&B/Soul,18,2025-01-29,5,2025
61,Pink Venom,Lil Baby,Alternative,17,2025-01-29,5,2025
62,Vampire,BTS,Hip-Hop/Rap,9,2025-01-29,5,2025
63,Break My Soul,Taylor Swift,Rock,7,2025-01-29,5,2025
64,HUMBLE.,Kendrick Lamar,Pop,1,2025-01-29,5,2025
65,Hold Me Closer,Billie Eilish,Alternative,5,2025-01-29,5,2025
66,As It Was,Drake,Country,14,2025-01-29,5,2025
67,Kill Bill,Lil Baby,R&B/Soul,3,2025-01-29,5,2025
68,Dynamite,Drake,R&B/Soul,5,2025-01-29,5,2025
69,HUMBLE.,BTS,Country,12,2025-01-29,5,2025
70,About Damn Time,Dua Lipa,Country,4,2025-01-29,5,2025
71,Vampire,Billie Eilish,Pop,2,2025-01-29,5,2025
72,Unholy,Post Malone,Rock,17,2025-01-29,5,2025
73,Flowers,Justin Bieber,Country,6,2025-01-29,5,2025
74,Unholy,Justin Bieber,Country,7,2025-01-29,5,2025
75,Dynamite,Drake,R&B/Soul,13,2025-01-29,5,2025
76,Dynamite,Bad Bunny,Pop,2,2025-01-29,5,2025
77,Late Night Talking,Doja Cat,R&B/Soul,19,2025-01-29,5,2025
78,Unholy,Taylor Swift,Country,2,2025-01-29,5,2025
79,Pink Venom,Morgan Wallen,Hip-Hop/Rap,13,2025-01-29,5,2025
80,As It Was,The Weeknd,Country,9,2025-01-29,5,2025
81,Last Night,The Weeknd,Country,19,2025-01-29,5,2025
82,HUMBLE.,Billie Eilish,Rock,3,2025-01-29,5,2025
83,Hold Me Closer,Ariana Grande,Hip-Hop/Rap,16,2025-01-29,5,2025
84,Hold Me Closer,Harry Styles,R&B/Soul,7,2025-01-29,5,2025
85,Late Night Talking,Kendrick Lamar,Pop,13,2025-01-29,5,2025
86,HUMBLE.,The Weeknd,Hip-Hop/Rap,16,2025-01-29,5,2025
87,Unholy,Lil Baby,R&B/Soul,6,2025-01-29,5,2025
88,Last Night,Dua Lipa,Country,17,2025-01-29,5,2025
89,Break My Soul,Bad Bunny,Rock,9,2025-01-29,5,2025
90,Unholy,Lizzo,R&B/Soul,5,2025-01-29,5,2025
91,HUMBLE.,Morgan Wallen,Country,13,2025-01-29,5,2025
92,Flowers,Olivia Rodrigo,Country,17,2025-01-29,5,2025
93,Flowers,Kendrick Lamar,Pop,4,2025-01-29,5,2025
94,Dynamite,BTS,Hip-Hop/Rap,4,2025-01-29,5,2025
95,Pink Venom,Dua Lipa,Hip-Hop/Rap,20,2025-01-29,5,2025
96,Kill Bill,Kendrick Lamar,R&B/Soul,11,2025-01-29,5,2025
97,Unholy,Billie Eilish,Pop,19,2025-01-29,5,2025
98,Hold Me Closer,Miley Cyrus,R&B/Soul,18,2025-01-29,5,2025
99,Dynamite,Lizzo,Country,9,2025-01-29,5,2025
100,Hold Me Closer,Dua Lipa,Rock,14,2025-01-29,5,2025
1,As It Was,Post Malone,Hip-Hop/Rap,19,2025-02-05,6,2025
2,Last Night,Billie Eilish,R&B/Soul,18,2025-02-05,6,2025
3,Dynamite,Billie Eilish,R&B/Soul,6,2025-02-05,6,2025
4,About Damn Time,Dua Lipa,Hip-Hop/Rap,3,2025-02-05,6,2025
5,Kill Bill,Harry Styles,Hip-Hop/Rap,13,2025-02-05,6,2025
6,Flowers,Kendrick Lamar,Hip-Hop/Rap,17,2025-02-05,6,2025
7,Vampire,Miley Cyrus,R&B/Soul,11,2025-02-05,6,2025
8,Unholy,Olivia Rodrigo,Pop,10,2025-02-05,6,2025
9,About Damn Time,Justin Bieber,R&B/Soul,6,2025-02-05,6,2025
10,Late Night Talking,Drake,Pop,15,2025-02-05,6,2025
11,About Damn Time,Doja Cat,Pop,17,2025-02-05,6,2025
12,Unholy,Ariana Grande,Pop,5,2025-02-05,6,2025
13,Last Night,Harry Styles,Hip-Hop/Rap,17,2025-02-05,6,2025
14,Dynamite,Taylor Swift,Pop,20,2025-02-05,6,2025
15,Dynamite,Bad Bunny,Country,17,2025-02-05,6,2025
16,Break My Soul,Olivia Rodrigo,R&B/Soul,12,2025-02-05,6,2025
17,Anti-Hero,Ed Sheeran,Pop,1,2025-02-05,6,2025
18,Hold Me Closer,Post Malone,Country,20,2025-02-05,6,2025
19,Hold Me Closer,Bad Bunny,Rock,7,2025-02-05,6,2025
20,Late Night Talking,Justin Bieber,Country,6,2025-02-05,6,2025
21,Unholy,Kendrick Lamar,Rock,12,2025-02-05,6,2025
22,Kill Bill,Lizzo,Hip-Hop/Rap,18,2025-02-05,6,2025
23,About Damn Time,Dua Lipa,Pop,3,2025-02-05,6,2025
24,Dynamite,Harry Styles,R&B/Soul,6,2025-02-05,6,2025
25,HUMBLE.,Olivia Rodrigo,R&B/Soul,4,2025-02-05,6,2025
26,Last Night,Post Malone,Hip-Hop/Rap,6,2025-02-05,6,2025
27,Kill Bill,Harry Styles,R&B/Soul,1,2025-02-05,6,2025
28,About Damn Time,Billie Eilish,Pop,9,2025-02-05,6,2025
29,Late Night Talking,Lil Baby,Rock,7,2025-02-05,6,2025
30,Dynamite,Morgan Wallen,Hip-Hop/Rap,3,2025-02-05,6,2025
31,Vampire,Drake,Pop,11,2025-02-05,6,2025
32,As It Was,Morgan Wallen,Hip-Hop/Rap,6,2025-02-05,6,2025
33,Hold Me Closer,Morgan Wallen,Pop,20,2025-02-05,6,2025
34,As It Was,Lizzo,R&B/Soul,20,2025-02-05,6,2025
35,About Damn Time,Bad Bunny,Rock,15,2025-02-05,6,2025
36,Late Night Talking,Lizzo,Hip-Hop/Rap,12,2025-02-05,6,2025
37,Late Night Talking,Drake,R&B/Soul,20,2025-02-05,6,2025
38,About Damn Time,Olivia Rodrigo,Hip-Hop/Rap,16,2025-02-05,6,2025
39,About Damn Time,Justin Bieber,Hip-Hop/Rap,6,2025-02-05,6,2025
40,Dynamite,Kendrick Lamar,Pop,10,2025-02-05,6,2025
41,Dynamite,Miley Cyrus,Hip-Hop/Rap,1,2025-02-05,6,2025
42,Hold Me Closer,Doja Cat,Pop,19,2025-02-05,6,2025
43,Hold Me Closer,The Weeknd,Pop,14,2025-02-05,6,2025
44,HUMBLE.,Miley Cyrus,Pop,3,2025-02-05,6,2025
45,HUMBLE.,Morgan Wallen,Hip-Hop/Rap,15,2025-02-05,6,2025
46,About Damn Time,Justin Bieber,R&B/Soul,6,2025-02-05,6,2025
47,As It Was,BTS,Pop,15,2025-02-05,6,2025
48,Anti-Hero,Doja Cat,Pop,12,2025-02-05,6,2025
49,Anti-Hero,Bad Bunny,Pop,15,2025-02-05,6,2025
50,Hold Me Closer,Lil Baby,Country,6,2025-02-05,6,2025
51,Flowers,Lizzo,R&B/Soul,8,2025-02-05,6,2025
52,HUMBLE.,Miley Cyrus,Country,14,2025-02-05,6,2025
53,Anti-Hero,Doja Cat,Hip-Hop/Rap,8,2025-02-05,6,2025
54,Hold Me Closer,Justin Bieber,Alternative,9,2025-02-05,6,2025
55,Unholy,Kendrick Lamar,Country,3,2025-02-05,6,2025
56,Late Night Talking,Blackpink,Country,2,2025-02-05,6,2025
57,Last Night,Blackpink,Rock,4,2025-02-05,6,2025
58,Flowers,Miley Cyrus,R&B/Soul,15,2025-02-05,6,2025
59,Pink Venom,Olivia Rodrigo,Hip-Hop/Rap,20,2025-02-05,6,2025
60,Hold Me Closer,Kendrick Lamar,R&B/Soul,16,2025-02-05,6,2025
61,Break My Soul,Justin Bieber,Pop,1,2025-02-05,6,2025
62,Flowers,Lizzo,Pop,10,2025-02-05,6,2025
63,Unholy,Bad Bunny,Alternative,3,2025-02-05,6,2025
64,Late Night Talking,Ed Sheeran,Country,17,2025-02-05,6,2025
65,Hold Me Closer,Bad Bunny,Country,15,2025-02-05,6,2025
66,Late Night Talking,Lil Baby,Rock,10,2025-02-05,6,2025
67,Pink Venom,Miley Cyrus,Hip-Hop/Rap,20,2025-02-05,6,2025
68,Dynamite,Bad Bunny,Pop,20,2025-02-05,6,2025
69,Unholy,Dua Lipa,R&B/Soul,11,2025-02-05,6,2025
70,Flowers,Kendrick Lamar,Hip-Hop/Rap,8,2025-02-05,6,2025
71,Anti-Hero,Dua Lipa,R&B/Soul,6,2025-02-05,6,2025
72,HUMBLE.,Drake,Country,11,2025-02-05,6,2025
73,Anti-Hero,Justin Bieber,Country,15,2025-02-05,6,2025
74,Hold Me Closer,Justin Bieber,Country,6,2025-02-05,6,2025
75,Anti-Hero,Lizzo,Hip-Hop/Rap,5,2025-02-05,6,2025
76,About Damn Time,BTS,Country,6,2025-02-05,6,2025
77,Last Night,Miley Cyrus,R&B/Soul,7,2025-02-05,6,2025
78,About Damn Time,Blackpink,R&B/Soul,3,2025-02-05,6,2025
79,Pink Venom,Justin Bieber,Country,4,2025-02-05,6,2025
80,Dynamite,Ed Sheeran,R&B/Soul,9,2025-02-05,6,2025
