rank,title,artist,genre,weeks_on_chart,date
68,Hold Me Closer,Elton John & Britney Spears,Pop,2,2024-07-17
69,About Damn Time,Lizzo,Pop,4,2024-07-17
70,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,1,2024-07-17
71,If I Was a Cowboy,Miranda Lambert,Country,4,2024-07-17
72,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,6,2024-07-17
73,Smells Like Teen Spirit,Nirvana,Rock,1,2024-07-17
74,If I Was a Cowboy,Miranda Lambert,Country,5,2024-07-17
75,Wonderwall,Oasis,Rock,7,2024-07-17
76,Calm Down,Rema & Selena Gomez,R&B/Soul,1,2024-07-17
77,Good Days,SZA,R&B/Soul,7,2024-07-17
78,Congratulations,Post Malone ft. Quavo,Pop,5,2024-07-17
79,New Jeans,NewJeans,K-Pop,1,2024-07-17
80,Anti-Hero,Taylor Swift,Pop,2,2024-07-17
81,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,2,2024-07-17
82,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,6,2024-07-17
83,Rich Flex,Drake & 21 Savage,R&B/Soul,1,2024-07-17
84,Late Night Talking,Harry Styles,Pop,8,2024-07-17
85,Vampire,Olivia Rodrigo,Pop,8,2024-07-17
86,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,1,2024-07-17
87,Andrea,Bad Bunny & Buscabulla,Latin,1,2024-07-17
88,About Damn Time,Lizzo,Pop,3,2024-07-17
89,Calm Down,Rema & Selena Gomez,R&B/Soul,6,2024-07-17
90,Levitating,Dua Lipa,Electronic/Dance,3,2024-07-17
91,Go Flex,Post Malone,Alternative,8,2024-07-17
92,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,2,2024-07-17
93,The Box,Roddy Ricch,Hip-Hop/Rap,2,2024-07-17
94,God's Plan,Drake,Hip-Hop/Rap,2,2024-07-17
95,Después de la Playa,Bad Bunny,Latin,3,2024-07-17
96,Savage,Megan Thee Stallion,Hip-Hop/Rap,1,2024-07-17
97,God's Plan,Drake,Hip-Hop/Rap,7,2024-07-17
98,Essence,WizKid ft. Tems,R&B/Soul,1,2024-07-17
99,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,8,2024-07-17
100,Thought You Should Know,Morgan Wallen,Country,8,2024-07-17
1,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,22,2024-07-24
2,Til You Can't,Cody Johnson,Country,14,2024-07-24
3,Break My Heart,Dua Lipa,Electronic/Dance,16,2024-07-24
4,If I Was a Cowboy,Miranda Lambert,Country,16,2024-07-24
5,Unholy,Sam Smith & Kim Petras,Pop,10,2024-07-24
6,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,20,2024-07-24
7,Wonderwall,Oasis,Rock,22,2024-07-24
8,White Iverson,Post Malone,Alternative,25,2024-07-24
9,Thought You Should Know,Morgan Wallen,Country,13,2024-07-24
10,White Iverson,Post Malone,Alternative,17,2024-07-24
11,Rockstar,DaBaby ft. Roddy Ricch,Hip-Hop/Rap,11,2024-07-24
12,Thought You Should Know,Morgan Wallen,Country,11,2024-07-24
13,Smells Like Teen Spirit,Nirvana,Rock,9,2024-07-24
14,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,11,2024-07-24
15,About Damn Time,Lizzo,Pop,14,2024-07-24
16,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,10,2024-07-24
17,New Jeans,NewJeans,K-Pop,13,2024-07-24
18,Good Days,SZA,R&B/Soul,4,2024-07-24
19,Anti-Hero,Taylor Swift,Pop,5,2024-07-24
20,Vampire,Olivia Rodrigo,Pop,6,2024-07-24
21,Wild as Her,Corey Kent,Country,4,2024-07-24
22,CUFF IT,Beyoncé,R&B/Soul,14,2024-07-24
23,IDGAF,Dua Lipa,Electronic/Dance,12,2024-07-24
24,The Box,Roddy Ricch,Hip-Hop/Rap,12,2024-07-24
25,Creep,Radiohead,Rock,3,2024-07-24
26,OMG,NewJeans,K-Pop,10,2024-07-24
27,Andrea,Bad Bunny & Buscabulla,Latin,15,2024-07-24
28,Lift Me Up,Rihanna,R&B/Soul,6,2024-07-24
29,Hold On,Justin Bieber,Pop,5,2024-07-24
30,White Iverson,Post Malone,Alternative,15,2024-07-24
31,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,6,2024-07-24
32,If I Was a Cowboy,Miranda Lambert,Country,6,2024-07-24
33,She Had Me At Heads Carolina,Cole Swindell,Country,14,2024-07-24
34,Sunflower,Post Malone & Swae Lee,Pop,12,2024-07-24
35,Go Flex,Post Malone,Alternative,6,2024-07-24
36,Don't Start Now,Dua Lipa,Electronic/Dance,8,2024-07-24
37,If I Was a Cowboy,Miranda Lambert,Country,6,2024-07-24
38,As It Was,Harry Styles,Pop,10,2024-07-24
39,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,3,2024-07-24
40,Hold On,Justin Bieber,Pop,7,2024-07-24
41,Bohemian Rhapsody,Queen,Rock,10,2024-07-24
42,Smells Like Teen Spirit,Nirvana,Rock,6,2024-07-24
43,Levitating,Dua Lipa,Electronic/Dance,6,2024-07-24
44,If I Was a Cowboy,Miranda Lambert,Country,14,2024-07-24
45,Kill Bill,SZA,R&B/Soul,12,2024-07-24
46,Physical,Dua Lipa,Electronic/Dance,7,2024-07-24
47,Blinding Lights,The Weeknd,Alternative,7,2024-07-24
48,Shirt,SZA,R&B/Soul,7,2024-07-24
49,Last Night,Morgan Wallen,Country,7,2024-07-24
50,Zombie,The Cranberries,Rock,13,2024-07-24
51,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,5,2024-07-24
52,Hype Boy,NewJeans,K-Pop,8,2024-07-24
53,"Going, Going, Gone",Luke Combs,Country,5,2024-07-24
54,Tití Me Preguntó,Bad Bunny,Latin,7,2024-07-24
55,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,8,2024-07-24
56,ETA,NewJeans,K-Pop,7,2024-07-24
57,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,4,2024-07-24
58,ETA,NewJeans,K-Pop,2,2024-07-24
59,Die For You,The Weeknd,R&B/Soul,7,2024-07-24
60,As It Was,Harry Styles,Pop,2,2024-07-24
61,Til You Can't,Cody Johnson,Country,7,2024-07-24
62,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,3,2024-07-24
63,Break My Soul,Beyoncé,Pop,5,2024-07-24
64,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,3,2024-07-24
65,ETA,NewJeans,K-Pop,4,2024-07-24
66,Dynamite,BTS,K-Pop,5,2024-07-24
67,Sunflower,Post Malone & Swae Lee,Pop,3,2024-07-24
68,CUFF IT,Beyoncé,R&B/Soul,7,2024-07-24
69,Smells Like Teen Spirit,Nirvana,Rock,4,2024-07-24
70,Anti-Hero,Taylor Swift,Pop,4,2024-07-24
71,The Box,Roddy Ricch,Hip-Hop/Rap,2,2024-07-24
72,Break My Soul,Beyoncé,Pop,2,2024-07-24
73,Til You Can't,Cody Johnson,Country,5,2024-07-24
74,In Da Club,50 Cent,Hip-Hop/Rap,7,2024-07-24
75,I Fall Apart,Post Malone,Alternative,5,2024-07-24
76,Physical,Dua Lipa,Electronic/Dance,7,2024-07-24
77,CUFF IT,Beyoncé,R&B/Soul,1,2024-07-24
78,Tití Me Preguntó,Bad Bunny,Latin,6,2024-07-24
79,Go Flex,Post Malone,Alternative,3,2024-07-24
80,New Rules,Dua Lipa,Electronic/Dance,8,2024-07-24
81,Psycho,Post Malone ft. Ty Dolla $ign,Alternative,3,2024-07-24
82,Break My Soul,Beyoncé,Pop,6,2024-07-24
83,As It Was,Harry Styles,Pop,1,2024-07-24
84,Calm Down,Rema & Selena Gomez,R&B/Soul,2,2024-07-24
85,If I Was a Cowboy,Miranda Lambert,Country,4,2024-07-24
86,Creepin',"Metro Boomin, The Weeknd, 21 Savage",R&B/Soul,1,2024-07-24
87,Anti-Hero,Taylor Swift,Pop,2,2024-07-24
88,Party,Bad Bunny & Rauw Alejandro,Latin,1,2024-07-24
89,Butter,BTS,K-Pop,1,2024-07-24
90,Lift Me Up,Rihanna,R&B/Soul,1,2024-07-24
91,Calm Down,Rema & Selena Gomez,R&B/Soul,2,2024-07-24
92,In Da Club,50 Cent,Hip-Hop/Rap,2,2024-07-24
93,Thought You Should Know,Morgan Wallen,Country,3,2024-07-24
94,Break My Soul,Beyoncé,Pop,8,2024-07-24
95,Pink Venom,BLACKPINK,K-Pop,1,2024-07-24
96,Congratulations,Post Malone ft. Quavo,Pop,3,2024-07-24
97,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,3,2024-07-24
98,Good Days,SZA,R&B/Soul,2,2024-07-24
99,Congratulations,Post Malone ft. Quavo,Pop,6,2024-07-24
100,In Da Club,50 Cent,Hip-Hop/Rap,5,2024-07-24
1,You Proof,Morgan Wallen,Country,12,2024-07-31
2,Late Night Talking,Harry Styles,Pop,21,2024-07-31
3,"Going, Going, Gone",Luke Combs,Country,10,2024-07-31
4,Anti-Hero,Taylor Swift,Pop,22,2024-07-31
5,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,15,2024-07-31
6,Last Night,Morgan Wallen,Country,25,2024-07-31
7,Dynamite,BTS,K-Pop,24,2024-07-31
8,"Going, Going, Gone",Luke Combs,Country,23,2024-07-31
9,The Box,Roddy Ricch,Hip-Hop/Rap,20,2024-07-31
10,As It Was,Harry Styles,Pop,12,2024-07-31
11,Wonderwall,Oasis,Rock,10,2024-07-31
12,Physical,Dua Lipa,Electronic/Dance,6,2024-07-31
13,About Damn Time,Lizzo,Pop,15,2024-07-31
14,About Damn Time,Lizzo,Pop,12,2024-07-31
15,Rich Flex,Drake & 21 Savage,R&B/Soul,4,2024-07-31
16,The Kind of Love We Make,Luke Combs,Country,12,2024-07-31
17,Late Night Talking,Harry Styles,Pop,5,2024-07-31
18,Break My Heart,Dua Lipa,Electronic/Dance,8,2024-07-31
19,Moscow Mule,Bad Bunny,Latin,6,2024-07-31
20,If I Was a Cowboy,Miranda Lambert,Country,7,2024-07-31
21,Wonderwall,Oasis,Rock,9,2024-07-31
22,Rich Flex,Drake & 21 Savage,R&B/Soul,8,2024-07-31
23,Hotel California,Eagles,Rock,15,2024-07-31
24,Go Flex,Post Malone,Alternative,6,2024-07-31
25,IDGAF,Dua Lipa,Electronic/Dance,8,2024-07-31
26,Shirt,SZA,R&B/Soul,10,2024-07-31
27,Break My Heart,Dua Lipa,Electronic/Dance,12,2024-07-31
28,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,3,2024-07-31
29,El Apagón,Bad Bunny,Latin,3,2024-07-31
30,Rich Flex,Drake & 21 Savage,R&B/Soul,15,2024-07-31
31,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,3,2024-07-31
32,Blinding Lights,The Weeknd,Alternative,5,2024-07-31
33,Super Shy,NewJeans,K-Pop,13,2024-07-31
34,About Damn Time,Lizzo,Pop,9,2024-07-31
35,La Corriente,Bad Bunny & Tony Dize,Latin,9,2024-07-31
36,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,5,2024-07-31
37,Hotel California,Eagles,Rock,9,2024-07-31
38,Hold Me Closer,Elton John & Britney Spears,Pop,4,2024-07-31
39,Kill Bill,SZA,R&B/Soul,6,2024-07-31
40,Bad Guy,Billie Eilish,Alternative,9,2024-07-31
41,OMG,NewJeans,K-Pop,3,2024-07-31
42,Vampire,Olivia Rodrigo,Pop,7,2024-07-31
43,Creep,Radiohead,Rock,13,2024-07-31
44,God's Plan,Drake,Hip-Hop/Rap,3,2024-07-31
45,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,7,2024-07-31
46,As It Was,Harry Styles,Pop,8,2024-07-31
47,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,10,2024-07-31
48,"Going, Going, Gone",Luke Combs,Country,9,2024-07-31
49,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,7,2024-07-31
50,Savage,Megan Thee Stallion,Hip-Hop/Rap,14,2024-07-31
51,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,6,2024-07-31
52,Savage,Megan Thee Stallion,Hip-Hop/Rap,2,2024-07-31
53,Savage,Megan Thee Stallion,Hip-Hop/Rap,7,2024-07-31
54,Til You Can't,Cody Johnson,Country,8,2024-07-31
55,Seven Nation Army,The White Stripes,Rock,4,2024-07-31
56,Late Night Talking,Harry Styles,Pop,4,2024-07-31
57,Break My Heart,Dua Lipa,Electronic/Dance,1,2024-07-31
58,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,4,2024-07-31
59,Anti-Hero,Taylor Swift,Pop,4,2024-07-31
60,Break My Soul,Beyoncé,Pop,5,2024-07-31
61,Better Now,Post Malone,Alternative,7,2024-07-31
62,If I Was a Cowboy,Miranda Lambert,Country,5,2024-07-31
63,Hold Me Closer,Elton John & Britney Spears,Pop,2,2024-07-31
64,We Found Love,Rihanna ft. Calvin Harris,Electronic/Dance,5,2024-07-31
65,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,4,2024-07-31
66,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,1,2024-07-31
67,Late Night Talking,Harry Styles,Pop,5,2024-07-31
68,Break My Soul,Beyoncé,Pop,4,2024-07-31
69,Andrea,Bad Bunny & Buscabulla,Latin,5,2024-07-31
70,Party,Bad Bunny & Rauw Alejandro,Latin,6,2024-07-31
71,ETA,NewJeans,K-Pop,7,2024-07-31
72,Go Flex,Post Malone,Alternative,6,2024-07-31
73,Last Night,Morgan Wallen,Country,2,2024-07-31
74,You Proof,Morgan Wallen,Country,3,2024-07-31
75,New Jeans,NewJeans,K-Pop,4,2024-07-31
76,Rich Flex,Drake & 21 Savage,R&B/Soul,3,2024-07-31
77,Vampire,Olivia Rodrigo,Pop,4,2024-07-31
78,Kill Bill,SZA,R&B/Soul,1,2024-07-31
79,Physical,Dua Lipa,Electronic/Dance,6,2024-07-31
80,Ditto,NewJeans,K-Pop,5,2024-07-31
81,Después de la Playa,Bad Bunny,Latin,4,2024-07-31
82,Butter,BTS,K-Pop,2,2024-07-31
83,Essence,WizKid ft. Tems,R&B/Soul,1,2024-07-31
84,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,6,2024-07-31
85,Break My Heart,Dua Lipa,Electronic/Dance,3,2024-07-31
86,Rich Flex,Drake & 21 Savage,R&B/Soul,4,2024-07-31
87,Physical,Dua Lipa,Electronic/Dance,3,2024-07-31
88,Sweet Child O' Mine,Guns N' Roses,Rock,2,2024-07-31
89,Seven Nation Army,The White Stripes,Rock,3,2024-07-31
90,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,7,2024-07-31
91,Smells Like Teen Spirit,Nirvana,Rock,4,2024-07-31
92,Blinding Lights,The Weeknd,Alternative,5,2024-07-31
93,Good Days,SZA,R&B/Soul,7,2024-07-31
94,If I Was a Cowboy,Miranda Lambert,Country,7,2024-07-31
95,Running Up That Hill,Kate Bush,Rock,2,2024-07-31
96,Después de la Playa,Bad Bunny,Latin,8,2024-07-31
97,Calm Down,Rema & Selena Gomez,R&B/Soul,5,2024-07-31
98,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,5,2024-07-31
99,Ditto,NewJeans,K-Pop,5,2024-07-31
100,Hold On,Justin Bieber,Pop,2,2024-07-31
1,Til You Can't,Cody Johnson,Country,8,2024-08-07
2,Rich Flex,Drake & 21 Savage,R&B/Soul,22,2024-08-07
3,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,18,2024-08-07
4,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,15,2024-08-07
5,Vampire,Olivia Rodrigo,Pop,17,2024-08-07
6,If I Was a Cowboy,Miranda Lambert,Country,17,2024-08-07
7,Til You Can't,Cody Johnson,Country,20,2024-08-07
8,Sunflower,Post Malone & Swae Lee,Pop,9,2024-08-07
9,Levitating,Dua Lipa,Electronic/Dance,13,2024-08-07
10,IDGAF,Dua Lipa,Electronic/Dance,21,2024-08-07
11,About Damn Time,Lizzo,Pop,13,2024-08-07
12,Dynamite,BTS,K-Pop,11,2024-08-07
13,You Proof,Morgan Wallen,Country,5,2024-08-07
14,Die For You,The Weeknd,R&B/Soul,6,2024-08-07
15,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,8,2024-08-07
16,Butter,BTS,K-Pop,14,2024-08-07
17,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,12,2024-08-07
18,OMG,NewJeans,K-Pop,14,2024-08-07
19,I Fall Apart,Post Malone,Alternative,3,2024-08-07
20,Anti-Hero,Taylor Swift,Pop,6,2024-08-07
21,Ditto,NewJeans,K-Pop,7,2024-08-07
22,Better Now,Post Malone,Alternative,15,2024-08-07
23,Go Flex,Post Malone,Alternative,4,2024-08-07
24,Anti-Hero,Taylor Swift,Pop,9,2024-08-07
25,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,6,2024-08-07
26,Me Porto Bonito,Bad Bunny & Chencho Corleone,Latin,8,2024-08-07
27,Good Days,SZA,R&B/Soul,10,2024-08-07
28,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,10,2024-08-07
29,God's Plan,Drake,Hip-Hop/Rap,8,2024-08-07
30,In Da Club,50 Cent,Hip-Hop/Rap,13,2024-08-07
31,Late Night Talking,Harry Styles,Pop,15,2024-08-07
32,Hold Me Closer,Elton John & Britney Spears,Pop,9,2024-08-07
33,If I Was a Cowboy,Miranda Lambert,Country,13,2024-08-07
34,Party,Bad Bunny & Rauw Alejandro,Latin,6,2024-08-07
35,You Proof,Morgan Wallen,Country,14,2024-08-07
36,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,5,2024-08-07
37,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,6,2024-08-07
38,Break My Heart,Dua Lipa,Electronic/Dance,6,2024-08-07
39,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,9,2024-08-07
40,Vampire,Olivia Rodrigo,Pop,8,2024-08-07
41,Super Shy,NewJeans,K-Pop,5,2024-08-07
42,Zombie,The Cranberries,Rock,9,2024-08-07
43,Late Night Talking,Harry Styles,Pop,11,2024-08-07
44,Thought You Should Know,Morgan Wallen,Country,6,2024-08-07
45,Late Night Talking,Harry Styles,Pop,10,2024-08-07
46,Smells Like Teen Spirit,Nirvana,Rock,14,2024-08-07
47,Hold Me Closer,Elton John & Britney Spears,Pop,15,2024-08-07
48,Til You Can't,Cody Johnson,Country,7,2024-08-07
49,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,14,2024-08-07
50,"Going, Going, Gone",Luke Combs,Country,4,2024-08-07
51,Hold On,Justin Bieber,Pop,7,2024-08-07
52,The Kind of Love We Make,Luke Combs,Country,2,2024-08-07
53,Andrea,Bad Bunny & Buscabulla,Latin,3,2024-08-07
54,Dynamite,BTS,K-Pop,5,2024-08-07
55,You Proof,Morgan Wallen,Country,6,2024-08-07
56,One Kiss,Calvin Harris & Dua Lipa,Electronic/Dance,2,2024-08-07
57,Hype Boy,NewJeans,K-Pop,1,2024-08-07
58,Wild as Her,Corey Kent,Country,1,2024-08-07
59,New Rules,Dua Lipa,Electronic/Dance,8,2024-08-07
60,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,1,2024-08-07
61,New Jeans,NewJeans,K-Pop,6,2024-08-07
62,Lift Me Up,Rihanna,R&B/Soul,5,2024-08-07
63,Sunflower,Post Malone & Swae Lee,Pop,5,2024-08-07
64,La Corriente,Bad Bunny & Tony Dize,Latin,4,2024-08-07
65,Calm Down,Rema & Selena Gomez,R&B/Soul,8,2024-08-07
66,Super Shy,NewJeans,K-Pop,6,2024-08-07
67,Super Shy,NewJeans,K-Pop,6,2024-08-07
68,Master of Puppets,Metallica,Rock,6,2024-08-07
69,God's Plan,Drake,Hip-Hop/Rap,6,2024-08-07
70,Break My Soul,Beyoncé,Pop,7,2024-08-07
71,Stay,The Kid LAROI & Justin Bieber,Electronic/Dance,4,2024-08-07
72,Kill Bill,SZA,R&B/Soul,1,2024-08-07
73,Hold On,Justin Bieber,Pop,1,2024-08-07
74,Industry Baby,Lil Nas X ft. Jack Harlow,Hip-Hop/Rap,2,2024-08-07
75,Lift Me Up,Rihanna,R&B/Soul,1,2024-08-07
76,Kill Bill,SZA,R&B/Soul,3,2024-08-07
77,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,7,2024-08-07
78,If I Was a Cowboy,Miranda Lambert,Country,4,2024-08-07
79,ETA,NewJeans,K-Pop,8,2024-08-07
80,You Proof,Morgan Wallen,Country,6,2024-08-07
81,Ditto,NewJeans,K-Pop,7,2024-08-07
82,Cold Heart,Elton John & Dua Lipa,Electronic/Dance,7,2024-08-07
83,Go Flex,Post Malone,Alternative,8,2024-08-07
84,Calm Down,Rema & Selena Gomez,R&B/Soul,6,2024-08-07
85,Rich Flex,Drake & 21 Savage,R&B/Soul,8,2024-08-07
86,God's Plan,Drake,Hip-Hop/Rap,2,2024-08-07
87,Hype Boy,NewJeans,K-Pop,1,2024-08-07
88,Hold On,Justin Bieber,Pop,4,2024-08-07
89,Andrea,Bad Bunny & Buscabulla,Latin,7,2024-08-07
90,Anti-Hero,Taylor Swift,Pop,4,2024-08-07
91,You Proof,Morgan Wallen,Country,4,2024-08-07
92,Blinding Lights,The Weeknd,Alternative,3,2024-08-07
93,El Apagón,Bad Bunny,Latin,4,2024-08-07
94,You Proof,Morgan Wallen,Country,1,2024-08-07
95,The Kind of Love We Make,Luke Combs,Country,6,2024-08-07
96,WAP,Cardi B ft. Megan Thee Stallion,Hip-Hop/Rap,1,2024-08-07
97,Efecto,Bad Bunny,Latin,5,2024-08-07
98,Last Night,Morgan Wallen,Country,2,2024-08-07
99,Wonderwall,Oasis,Rock,7,2024-08-07
100,CUFF IT,Beyoncé,R&B/Soul,1,2024-08-07
1,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,24,2024-08-14
2,Shut Down,BLACKPINK,K-Pop,20,2024-08-14
3,Buy Dirt,Jordan Davis ft. Luke Bryan,Country,12,2024-08-14
4,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,18,2024-08-14
5,HUMBLE.,Kendrick Lamar,Hip-Hop/Rap,12,2024-08-14
6,Wild as Her,Corey Kent,Country,8,2024-08-14
7,The Kind of Love We Make,Luke Combs,Country,18,2024-08-14
8,Mood,24kGoldn ft. Iann Dior,Hip-Hop/Rap,14,2024-08-14
9,Super Shy,NewJeans,K-Pop,13,2024-08-14
10,Seven Nation Army,The White Stripes,Rock,13,2024-08-14
11,Tití Me Preguntó,Bad Bunny,Latin,5,2024-08-14
12,Vampire,Olivia Rodrigo,Pop,13,2024-08-14
13,The Box,Roddy Ricch,Hip-Hop/Rap,11,2024-08-14
14,Lift Me Up,Rihanna,R&B/Soul,6,2024-08-14
15,Congratulations,Post Malone ft. Quavo,Pop,9,2024-08-14
16,Sunflower,Post Malone & Swae Lee,Pop,13,2024-08-14
17,Hype Boy,NewJeans,K-Pop,8,2024-08-14
18,About Damn Time,Lizzo,Pop,8,2024-08-14
